ticker,date,open,high,low,close,vol
AAPL,201010201430,311.97,312.47,311.71,312.36,273778
AAPL,201010201435,312.41,312.52,312.11,312.36,195786
AAPL,201010201440,312.32,312.7,312.15,312.63,268293
AAPL,201010201445,312.62,312.67,312,312.11,264944
AAPL,201010201450,312.15,312.44,311.88,312.26,188142
AAPL,201010201455,312.25,312.4,311.7,312.26,248864
AAPL,201010201500,312.26,312.5,312.04,312.19,165225
AAPL,201010201505,312.18,312.36,311.71,312.21,324058
AAPL,201010201510,312.23,312.37,312,312.16,161792
AAPL,201010201515,312.16,312.5,312.14,312.44,196801
AAPL,201010201520,312.45,312.75,312.4,312.58,290290
AAPL,201010201525,312.61,312.88,312.51,312.88,207808
AAPL,201010201530,312.86,312.92,312.62,312.68,225752
AAPL,201010201535,312.67,312.75,311.61,312,442929
AAPL,201010201540,312,312.12,311.23,311.31,370006
AAPL,201010201545,311.39,311.86,311.31,311.51,303694
AAPL,201010201550,311.55,311.86,310.29,310.38,632178
AAPL,201010201555,310.41,310.82,309.92,310.53,921044
AAPL,201010201600,310.46,310.7,310.3,310.5,222400
AAPL,201010201605,310.43,310.5,310.15,310.48,6652
AAPL,201010201610,310.56,310.59,310.48,310.48,1100
AAPL,201010201615,310.5,310.74,310.4,310.74,4766
AAPL,201010201620,310.7,310.78,310.56,310.56,4648
AAPL,201010201625,310.66,310.7,310.55,310.66,4331
AAPL,201010201630,310.65,310.9,310.65,310.83,8184
AAPL,201010201635,310.83,311.06,310.8,311.06,3616
AAPL,201010201640,311.09,311.18,311.06,311.1,3500
AAPL,201010201645,311.14,311.15,311.14,311.15,478
AAPL,201010201650,311.19,311.26,311.15,311.26,2730
AAPL,201010201655,311.24,311.24,311.09,311.09,4605
AAPL,201010210900,313.16,313.19,312.8,312.82,9666
AAPL,201010210905,312.8,312.89,312.64,312.65,6770
AAPL,201010210910,312.66,312.84,312.58,312.82,6913
AAPL,201010210915,312.79,313,312.7,312.98,5530
AAPL,201010210920,313,313,312.86,313,2270
AAPL,201010210925,312.98,312.98,312.35,312.37,11000
AAPL,201010210930,312.36,312.44,311.12,311.83,718291
AAPL,201010210935,311.82,313.12,311.51,312.97,624766
AAPL,201010210940,312.95,314.74,312.88,313.94,924027
AAPL,201010210945,313.99,314.2,313.3,313.71,537326
AAPL,201010210950,313.76,313.82,313.09,313.4,304320
AAPL,201010210955,313.33,313.95,313.28,313.71,217681
AAPL,201010211000,313.59,313.66,312.6,313.2,434762
AAPL,201010211005,313.19,314.3,312.83,314.14,483413
AAPL,201010211010,314.07,314.23,313.68,313.74,443195
AAPL,201010211015,313.74,313.77,312.8,313.12,288124
AAPL,201010211020,313.16,313.47,312.9,313.34,199358
AAPL,201010211025,313.43,313.5,312.92,313.15,256036
AAPL,201010211030,313.16,313.46,313.05,313.15,169880
AAPL,201010211035,313.22,313.31,312.8,312.88,186580
AAPL,201010211040,312.89,313.19,312.62,312.74,273381
AAPL,201010211045,312.71,313,312.36,313,253986
AAPL,201010211050,312.99,313,312.57,312.69,112023
AAPL,201010211055,312.68,312.88,312.62,312.85,100280
AAPL,201010211100,312.83,313.25,312.81,313,214506
AAPL,201010211105,313.02,313.31,312.5,312.52,188450
AAPL,201010211110,312.55,312.75,311.94,311.99,307939
AAPL,201010211115,311.98,312.31,311.7,311.9,235981
AAPL,201010211120,311.91,312.3,311.72,311.84,140842
AAPL,201010211125,311.85,311.94,311.44,311.76,290779
AAPL,201010211130,311.74,312.23,311.72,312.06,122607
AAPL,201010211135,312.09,312.09,310.59,310.85,342730
AAPL,201010211140,310.88,310.92,310.08,310.2,488124
AAPL,201010211145,310.2,310.89,310.13,310.74,209703
AAPL,201010211150,310.75,310.8,310.41,310.7,136581
AAPL,201010211155,310.67,311.2,310.62,311.06,202571
AAPL,201010211200,311.05,311.12,310.7,310.84,118702
AAPL,201010211205,310.85,311,310.6,310.93,91833
AAPL,201010211210,310.93,311.13,310.73,310.8,77357
AAPL,201010211215,310.85,311.08,310.65,310.89,90699
AAPL,201010211220,310.89,311,310.32,310.5,147129
AAPL,201010211225,310.44,310.76,310.27,310.69,103462
AAPL,201010211230,310.64,310.67,310.15,310.25,118536
AAPL,201010211235,310.24,310.32,309.12,309.19,395633
AAPL,201010211240,309.22,309.86,309.01,309.74,232602
AAPL,201010211245,309.75,310,309.5,309.96,150046
AAPL,201010211250,310,310.55,309.9,310.26,196265
AAPL,201010211255,310.26,310.45,310.13,310.2,86100
AAPL,201010211300,310.2,310.82,310.2,310.78,119159
AAPL,201010211305,310.74,310.75,310.34,310.55,73815
AAPL,201010211310,310.58,310.76,310.34,310.5,77604
AAPL,201010211315,310.53,310.57,310.05,310.29,116683
AAPL,201010211320,310.31,310.52,310.05,310.18,76956
AAPL,201010211325,310.17,310.42,310.08,310.2,48357
AAPL,201010211330,310.22,310.28,309.4,309.56,186252
AAPL,201010211335,309.56,309.85,309.5,309.75,108881
AAPL,201010211340,309.75,310,309.41,309.55,104879
AAPL,201010211345,309.5,309.5,308.56,308.82,346039
AAPL,201010211350,308.88,308.94,308.17,308.57,345655
AAPL,201010211355,308.56,308.57,307.05,307.4,498124
AAPL,201010211400,307.47,307.95,306.8,307.84,520861
AAPL,201010211405,307.85,308.2,307.59,308.05,304669
AAPL,201010211410,308.04,308.3,307.44,307.95,203343
AAPL,201010211415,307.95,308.17,307.43,308.01,180383
AAPL,201010211420,308.06,308.1,307.51,307.59,139124
AAPL,201010211425,307.6,308.44,307.6,307.96,221152
AAPL,201010211430,307.96,308.58,307.9,308.3,182094
AAPL,201010211435,308.28,308.52,308.16,308.2,126967
AAPL,201010211440,308.19,308.7,308.04,308.5,152216
AAPL,201010211445,308.57,308.68,308.21,308.43,112750
AAPL,201010211450,308.45,308.85,308.04,308.82,187407
AAPL,201010211455,308.81,309.15,308.72,309.03,218462
AAPL,201010211500,309.07,309.36,308.92,309.19,145859
AAPL,201010211505,309.19,309.2,308.79,308.86,137959
AAPL,201010211510,308.84,309,308.5,309,150508
AAPL,201010211515,308.91,309.85,308.91,309.66,281346
AAPL,201010211520,309.69,309.95,309.51,309.95,223848
AAPL,201010211525,309.88,309.96,309.4,309.62,231179
AAPL,201010211530,309.61,309.95,309.47,309.61,167507
AAPL,201010211535,309.6,309.93,309.52,309.66,121445
AAPL,201010211540,309.66,309.8,309.04,309.42,171869
AAPL,201010211545,309.41,309.68,308.93,309.34,229664
AAPL,201010211550,309.37,309.47,309.09,309.26,182999
AAPL,201010211555,309.27,309.52,308.6,309.39,536087
AAPL,201010211600,309.5,310.27,308.8,308.8,355172
AAPL,201010211605,309.08,309.1,308.54,308.67,10671
AAPL,201010211610,308.67,310.23,308.35,308.6,43500
AAPL,201010211615,308.6,309.09,308.52,309,4796
AAPL,201010211620,309,309.17,308.9,309.05,3772
AAPL,201010211625,309,309,308.9,308.9,1402
AAPL,201010211630,308.76,308.94,308.76,308.81,696
AAPL,201010211635,308.85,308.85,308.85,308.85,470
AAPL,201010211640,308.88,308.88,308.88,308.88,300
AAPL,201010211645,308.78,308.84,308.78,308.84,257
AAPL,201010211650,308.79,308.83,308.65,308.65,1425
AAPL,201010211655,308.65,308.65,308.3,308.3,3655
AAPL,201010220900,309,309.75,308.82,309.58,14261
AAPL,201010220905,309.64,309.77,309.5,309.54,12409
AAPL,201010220910,309.55,310.28,309.55,309.67,40228
AAPL,201010220915,309.65,309.69,309.15,309.3,16360
AAPL,201010220920,309.3,309.35,309.27,309.27,1577
AAPL,201010220925,309.3,309.49,308.92,309.19,17708
AAPL,201010220930,309.07,309.25,307.83,308.64,676733
AAPL,201010220935,308.64,309.87,308.1,309.87,329230
AAPL,201010220940,309.77,310.04,309.43,309.57,390451
AAPL,201010220945,309.58,309.66,308.6,308.76,294611
AAPL,201010220950,308.81,308.86,308.26,308.4,266654
AAPL,201010220955,308.39,308.82,308.2,308.38,216038
AAPL,201010221000,308.39,308.39,307.3,307.95,365350
AAPL,201010221005,307.99,308.26,307.64,307.87,191930
AAPL,201010221010,307.89,308.02,307.13,307.82,245632
AAPL,201010221015,307.87,307.88,307.13,307.67,239119
AAPL,201010221020,307.59,308,307.3,307.62,206037
AAPL,201010221025,307.62,308,307.61,307.9,167467
AAPL,201010221030,307.9,308.74,307.83,308.71,228688
AAPL,201010221035,308.7,308.73,308.2,308.33,131442
AAPL,201010221040,308.35,308.56,308.2,308.42,85714
AAPL,201010221045,308.35,308.82,308.3,308.72,126148
AAPL,201010221050,308.74,309.1,308.63,309.1,184824
AAPL,201010221055,309.09,309.59,308.9,309.14,262163
AAPL,201010221100,309.1,309.48,308.79,309.47,160066
AAPL,201010221105,309.47,309.5,308.88,308.9,150907
AAPL,201010221110,308.9,309.32,308.47,308.48,153536
AAPL,201010221115,308.48,308.79,308.2,308.75,156919
AAPL,201010221120,308.72,308.84,308.38,308.43,92399
AAPL,201010221125,308.41,308.47,308.26,308.44,107073
AAPL,201010221130,308.47,308.97,308.43,308.97,153345
AAPL,201010221135,308.95,309.26,308.85,309.06,104105
AAPL,201010221140,309.08,309.13,308.77,308.83,68964
AAPL,201010221145,308.84,308.85,308.25,308.34,138318
AAPL,201010221150,308.29,308.54,308.21,308.49,76671
AAPL,201010221155,308.49,308.72,308.2,308.2,121832
AAPL,201010221200,308.21,308.5,308.1,308.46,138450
AAPL,201010221205,308.41,308.53,308.29,308.39,113020
AAPL,201010221210,308.39,308.45,308.21,308.28,77324
AAPL,201010221215,308.24,308.33,308.19,308.27,63056
AAPL,201010221220,308.32,308.61,308.26,308.59,118836
AAPL,201010221225,308.55,308.74,308.47,308.66,131377
AAPL,201010221230,308.65,308.71,308.25,308.25,94777
AAPL,201010221235,308.26,308.62,308.2,308.43,74552
AAPL,201010221240,308.41,308.53,308.25,308.42,50945
AAPL,201010221245,308.42,308.5,308.32,308.5,59841
AAPL,201010221250,308.5,308.5,308.15,308.21,87470
AAPL,201010221255,308.22,308.36,308.02,308.22,89053
AAPL,201010221300,308.17,308.28,308,308.08,65154
AAPL,201010221305,308.08,308.24,308.06,308.23,37460
AAPL,201010221310,308.22,308.24,308,308.17,75964
AAPL,201010221315,308.13,308.33,308.09,308.27,88793
AAPL,201010221320,308.24,308.26,308,308,79793
AAPL,201010221325,308.04,308.5,307.9,308.33,186241
